kz,сипаттама,ru,описание,en,description
Амблиопия,көру анализаторының функционалдық бұзылыстарына байланысты көру қабілетінің төмендеуі.,Амблиопия ,"понижение зрения, обусловленное функциональными расстройствами зрительного анализатора.",Amblyopia, is a decrease in vision caused by functional disorders of the visual analyzer.
Аметропия,сыну аппаратының күші мен көздің оптикалық осінің ұзындығы арасындағы қатынастың бұзылуы.,Амблиопия ,"понижение зрения, обусловленное функциональными расстройствами зрительного анализатора.",Ametropia,is a violation of the relationship between the strength of the refractive apparatus and the length of the optical axis of the eye.
Анализаторлар,"сыртқы ортаның тітіркендіргіштерін қабылдайтын және перифериялық бөлігін (сезім мүшелерін), жолдарды (жүйке талшықтарын) және орталық бөлігін (ми қыртысының бөлігін) қамтитын құрылымдық-функционалдық түзілімдер.",Анализаторы ,"структурно-функциональные образования, воспринимающие раздражители внешней среды и включающие периферическую часть (органы чувств), проводящие пути (нервные волокна) и центральную часть (участок коры головного мозга).",Analyzers,"are structural and functional formations that perceive environmental stimuli and include the peripheral part (sensory organs), conducting pathways (nerve fibers) and the central part (a section of the cerebral cortex)."
Анальгия, ауырсыну сезімталдығының болмауы.,Анальгия ,отсутствие болевой чувствительности.,Analgia ,is the absence of pain sensitivity.
Анамнез,науқастың өзі және оны білетін адамдардан сұхбат алу кезінде алынған науқас және аурудың дамуы туралы мәліметтер жиынтығы.,Анамнез ,"совокупность сведений о больном и развитии заболевания, получаемых при опросе самого больного и знающих его лиц.",Anamnesis,is a set of information about the patient and the development of the disease obtained by interviewing the patient himself and those who know him.
Ангиит,қан немесе лимфа тамырларының қабынуы.,Ангиит,воспаление кровеносного или лимфатического сосуда.,Angiitis,is an inflammation of a blood or lymphatic vessel.
Ангиоспазм,бұл қан ағымының күрт шектелуімен немесе тоқтауымен тамырлардың люменінің патологиялық тарылуы.,Ангиоспазм,патологическое сужение просвета сосудов с резким ограничением или прекращением в них кровотока.,Angiospasm,is a pathological narrowing of the lumen of blood vessels with a sharp restriction or cessation of blood flow in them.
Ангиоцепторлар,"қан тамырларының интерорецепторлары, тамыр жүйесінің сезімтал ұштары.",Ангиоцепторы ,"интерорецепторы сосудов, чувствительные окончания сосудистой системы.",Angioceptors ,"are vascular interoreceptors, sensitive endings of the vascular system."
Ангиэктазия,тамырлардың тұрақты кеңеюі.,Ангиэктазия,стойкое расширение сосудов.,Angiectasia ,is a persistent vasodilation.
Анемия,эритроциттер санының азаюымен және қан көлемінің бірлігінде гемоглобиннің төмендеуімен сипатталатын жағдай.,Анемия ," состояние, характеризующееся уменьшением количества эритроцитов и сни- жением гемоглобина в единице объема крови.",Anemia ,is a condition characterized by a decrease in the number of red blood cells and a decrease in hemoglobin per unit volume of blood.
Анестезия,сезімталдықтың жоғалуы.,Анестезия ,потеря чувствительности.,Anesthesia , loss of sensitivity.
Анкилоблефарон,қабақтың шеттерінің ішінара немесе толық қосылуы.,Анкилоблефарон ,частичное или полное сращение краев век.,Ankyloblefaron , partial or complete fusion of the edges of the eyelids.
Аномалия,"туа біткен, әдетте прогрессивті емес, тұрақты ауытқу.",Аномалия,"врожденная, обычно не прогрессирующее, стойкое отклонение от нормы.",Anomaly ,"is a congenital, usually not progressive, persistent deviation from the norm."
Анофтальм,бір немесе екі көздің болмауы.,Анофтальм ,отсутствие одного или обоих глаз.,Anophthalmos ,is the absence of one or both eyes.
Антиген,"кез-келген генетикалық бөгде зат, ол жұтылған кезде белгілі бір реакция тудырады.",Антиген ,"любое генетическое чужеродное вещество, которое при попадании в организм вызывает специфическую реакцию.",An antigen,"is any genetic foreign substance that, when ingested, causes a specific reaction."
Антикоагулянттар,қан ұю жүйесінің белсенділігін тежейтін заттар.,Антикоагулянты ,"вещества, угнетающие активность свертывающей системы крови.",Anticoagulants,are substances that inhibit the activity of the blood coagulation system.
Аплазия,"ағзаның, оның бір бөлігінің, тіннің бір бөлігінің, дененің бір бөлігінің немесе бүкіл эмбрионның болмауымен сипатталатын туа біткен ақау.",Аплазия ,"врожденный порок развития, характеризующийся отсутствием органа, его части, участка ткани, части тела или всего зародыша.",Aplasia," is a congenital malformation characterized by the absence of an organ, its part, a piece of tissue, a part of the body or the entire embryo."
Артериялар,жүректен дененің барлық бөліктері мен мүшелеріне оттегімен байытылған қанды тасымалдайтын қан тамырлары.,Артерии,"кровеносные сосуды, несущие кровь, обогащенную кислородом от сердца ко всем частям и органам тела.",Arteries,are blood vessels that carry oxygen—enriched blood from the heart to all parts and organs of the body.
Асимметрия,симметрияның болмауы.,Асимметрия,отсутствие симметрии.,Asymmetry, is the absence of symmetry.
Асинергия,аралас қозғалыстар жасау қабілетінің бұзылуы.,Асинергия ,нарушение способности производить сочетанные движения.,Asinergia,is a violation of the ability to produce combined movements.
Астенопия,визуалды жұмыс кезінде көздің тез шаршауы.,Астенопия,быстрое утомление глаз во время зрительной работы.,Asthenopia ,is rapid eye fatigue during visual work.
Көздің астигматизмі,бір көзде әртүрлі сыну түрлерінің немесе бір түрдің әртүрлі сыну дәрежелерінің тіркесімі.,Астигматизм глаза ,сочетание в одном глазу разных видов рефракции или разных степеней рефракций одного вида.,Astigmatism of the eye,is a combination in one eye of different types of refraction or different degrees of refraction of the same type.
Атавизм,"ұрпақтарда олардың алыс ата-бабаларына тән, бірақ жақын жерде жоқ белгілердің көрінісі.",Атавизм,"проявление у потомков признаков, свойственных их далеким предкам, но отсутствующих у ближайших.",Atavism,"is the manifestation in descendants of signs peculiar to their distant ancestors, but absent from the nearest ones."
Атрофия,бұл жасушалардың айқын сапалық өзгерістері бар тіндер мен мүшелердің көлемі мен мөлшерінің төмендеуімен сипатталатын процесс.,Атрофия ,"процесс, характеризующийся уменьшением объема и размеров тканей и органов с выраженными качественными изменениями клеток.",Atrophy ,is a process characterized by a decrease in the volume and size of tissues and organs with pronounced qualitative changes in cells.
Автопластика,науқастың өзіне тиесілі тіндерді немесе мүшелерді трансплантациялау.,Аутопластика,"пересадка тканей или органов, принадлежащих самому больному.",Autoplasty, is the transplantation of tissues or organs belonging to the patient himself.
Афакия,линзаның болмауы.,Афакия,отсутствие хрусталика.,Aphakia,is the absence of a lens.
Әсер,қысқа мерзімді және күшті жағымды немесе жағымсыз эмоция.,Аффект,кратковременная и сильная положительная или отрицательная эмоция.,Affect is a short,term and strong positive or negative emotion.
Абсцесс,іріңмен толтырылған және қоршаған тіннен бөлінген қуыс.,Абсцесс,"гнойник, нарыв. Полость, заполненная гноем и отграниченная от окружающей ткани.",Abscess,a cavity filled with pus and separated from the surrounding tissue.
Бейімделу,"ағзаның, жүйенің, органның құрылымын, метаболизмін, қызметін өзгерту арқылы өзгерген өмір сүру (жұмыс істеу) жағдайларына бейімделу процесі.",Адаптация,"процесс приспособления организма, системы, органа к изменившимся условиям существования (функционирования) путем изменения структуры, обмена веществ, функции.",Adaptation,"the process of adaptation of an organism, system, organ to the changed conditions of existence (functioning) by changing the structure, metabolism, function."
Алкалоз,қандағы негіздер санының абсолютті немесе салыстырмалы өсуінің пайда болуымен және сутегі иондарының санының төмендеуімен сипатталатын қышқыл-негіз күйінің бұзылуы.,Алкалоз,"нарушение кислотно-щелочного состояния, характеризующееся появлением в крови абсолютного или относительного увеличения количества оснований и понижение количества водородных ионов.",Alkalosis,"violation of the acid-base state, characterized by the appearance in the blood of an absolute or relative increase in the number of bases and a decrease in the number of hydrogen ions."
Ангиопатия,жүйке реттелуінің бұзылуынан туындаған және өтпелі құрысулар мен дистониямен көрінетін қан тамырларының тонусының бұзылуы.,Ангиопатия,"нарушение тонуса кровеносных сосудов, обусловленное расстройством нервной регуляции и проявляющееся преходящими спазмами и дистонией.",Angiopathy,violation of the tone of blood vessels caused by a disorder of nervous regulation and manifested by transient spasms and dystonia.
Анизоцитоз,қанда диаметрі (макроцитоз) нормадан (7-8 мкм) үлкен эритроциттердің болуы.,Анизоцитоз,наличие в крови эритроцитов с диаметром больше (макроцитоз) нормы (7-8 мкм).,Anisocytosis,the presence of erythrocytes in the blood with a diameter greater than the norm (macrocytosis) (7-8 microns).
Анорексия,тамақтану орталығының қызметінің бұзылуына байланысты тамақтануға физиологиялық қажеттілік болған кезде тәбеттің болмауы.,Анорексия,"отсутствие аппетита при наличии физиологической потребности в питании, обусловленное нарушениями деятельности пищевого центра.
",Anorexia,"lack of appetite in the presence of a physiological need for nutrition, due to violations of the activity of the food center."
Антибиотиктер,микроорганизмдердің немесе кейбір ісіктердің жасушаларының дамуын селективті түрде басуға қабілетті заттар.,Антибиотики,"вещества, способные избирательно подавлять развитие микроорганизмов или клеток некоторых опухолей.",Antibiotics,substances capable of selectively suppressing the development of microorganisms or cells of some tumors.
Антиген,"ағза бөтен деп қабылдайтын тән химиялық топтары бар зат (антигендік детерминанттар) белгілі бір иммундық реакцияны, иммундық жадты тудырады, антиденелермен және лимфоциттермен арнайы әрекеттесуге қабілетті.",Антиген,"вещество с характерными химическими группировками (антигенные детерминаторы), которые воспринимаются организмом как чужеродные, вызывают специфический иммунный ответ, иммунную память, способны специфически взаимодействовать с антителами и лимфоцитами.",Antigen,"a substance with characteristic chemical groupings (antigenic determinants) that are perceived by the body as foreign, cause a specific immune response, immune memory, and are able to interact specifically with antibodies and lymphocytes."
Антикоагулянттар,қанның ұю процесін тежейтін дәрілер.,Антикоагулянты,"лекарственные средства, тормозящие процесс свертывания крови.",Anticoagulants,medicines that inhibit the process of blood clotting.
Антиоксиданттар,еркін радикалды асқын тотығу процестерін тежейтін заттар.,Антиоксиданты,"вещества, тормозящие процессы свободнорадикального перекисного окисления.
",Antioxidants,substances that inhibit the processes of free radical peroxidation.
Антиденелер,антигенді енгізуге жауап ретінде түзілетін және осы антигенмен ерекше реакция жасау қабілеті бар гамма-глобулиндер.,Антитела,"гамма-глобулины, образующиеся в ответ на введение антигена и обладающие способностью к специфической реакции с этим антигеном.",Antibodies,gamma globulins formed in response to the introduction of an antigen and having the ability to react specifically with this antigen.
Анурия,несептің қуыққа енбеуі.,Анурия,непоступление мочи в мочевой пузырь.,Anuria,non-access of urine to the bladder.
Десенсибилизация,ағзаның аллергенге сезімталдығының төмендеуі.,Десенсибилизация,снижение чувствительности организма к аллергену.,Desensitization,reduced sensitivity of the body to the allergen.
Аритмия,қозу импульстарының пайда болуының немесе оны миокард бойынша жүргізудің бұзылуының жалпы атауы. Ол жүрек соғу жиілігі мен ритағының бұзылуымен көрінеді.,Аритмия,общее название нарушений возникновения импульсов возбуждения или его проведения по миокарду. Проявляется нарушениями частоты и ритма сердечных сокращений.,Arrhythmia,the general name of disorders of the occurrence of excitation impulses or its conduction through the myocardium. It is manifested by violations of the frequency and rhythm of heart contractions.
Анамнез,пациенттің өзінен немесе оны білетін адамдардан сұрау кезінде алынған денсаулық жағдайы туралы мәліметтер.,Анамнез,"сведения о состоянии здоровья, полученные при опросе самого пациента или знающих его лиц.",Anamnesis,information about the state of health obtained by interviewing the patient himself or those who know him.
Асцит,"іш қуысында сұйықтықтың жиналуы іштің ұлғаюына әкеледі. Ол жүрек жеткіліксіздігі, портативті гипертензия, бауыр циррозы, сондай-ақ қатерлі ісіктің әртүрлі түрлерінде (әсіресе бауыр мен аналық без қатерлі ісігінде) дамуы мүмкін.",Асцит,"скопление жидкости в брюшной полости, вызывающее увеличение живота. Может развиваться в результате сердечной недостаточности, портативной гипертензии, циррозе печени, а также при различных формах рака (особенно при раке печени и яичников).",Ascites,"accumulation of fluid in the abdominal cavity, causing an increase in the abdomen. It can develop as a result of heart failure, portable hypertension, cirrhosis of the liver, as well as various forms of cancer (especially liver and ovarian cancer)."
Ацидоз,артық қышқылдардың абсолютті немесе салыстырмалы жинақталуы және сутегі иондарының концентрациясының жоғарылауы болатын қышқыл-негіз күйінің бұзылуы.,Ацидоз,"нарушение кислотно-щелочного состояния, при котором происходит абсолютное или относительное накопление избытка кислот и повышение концентрации водородных ионов.",Acidosis,"violation of the acid-base state, in which there is an absolute or relative accumulation of excess acids and an increase in the concentration of hydrogen ions."
Барбитураттар,"барбитур қышқылының туындылары ұйықтататын, есірткі және антиконвульсанттар ретінде қолданылады.",Барбитураты,"производные барбитуровой кислоты, применяемые в качестве снотворных, наркотических и противосудорожных средств.",Barbiturates,"barbituric acid derivatives used as hypnotics, narcotic and anticonvulsants."
Биоматериал,"адам денесінен алынған зертханалық зерттеу пәні-тіндер мен мүшелердің биоптаттары, қан мен сүйек кемігінің жасушалары, нәжіс, шырыш, қақырық, шаш; дене сұйықтықтары — Сарысу және қан плазмасы, зәр, лимфа, ликер, эякулят, тер, асқазан және ұйқы безі шырыны, өт, экссудат, транссудат, синовильді және көз жасы сұйықтық, сілекей.",Биоматреал,"предмет лабораторного исследования, полученный из тела человека — биоптаты тканей и органов, клетки крови и костного мозга, кал, слизь, мокрота, волосы; биологические жидкости — сыворотка и плазма крови, моча, лимфа, ликвор, эякулят, пот, желудочный и панкреатический сок, желчь, экссудат, транссудат, синовильная и слезная жидкость, слюна.",Biomaterial,"the subject of laboratory research obtained from the human body — biopsies of tissues and organs, blood and bone marrow cells, feces, mucus, sputum, hair; biological fluids — blood serum and plasma, urine, lymph, liquor, ejaculate, sweat, gastric and pancreatic juice, bile, exudate, transudate, synovilic and lacrimal liquid, saliva."
Биопсия,гистологиялық диагностикалық зерттеу үшін ағзалар мен тіндердің фрагменттерін өмір бойы алу.,Биопсия,прижизненное взятие фрагментов органов и тканей для гистологического диагностического исследования.,Biopsy,intravital taking of fragments of organs and tissues for histological diagnostic examination.
Брадикардия,жүрек соғу жиілігінің төмендеуі.,Брадикардия,снижение частоты сердечных сокращений.,Bradycardia,reduction of heart rate.
Вирилизациялық ісіктер,"андрогендерді шығаратын және әйелдерде еркектік қасиеттердің пайда болуына әкелетін ісіктер - еркектік шаш, төмен дауыс, бұлшықет массасының жоғарылауы және т. б.",Вирилизирующие опухоли,"опухоли, продуцирующие андрогены и вызывающие у женщин появление мужских черт — оволосение по мужскому типу, низкий голос, увеличение мышечной массы и др.",Virilizing tumors,"tumors that produce androgens and cause the appearance of male traits in women — male-type hair loss, low voice, increased muscle mass, etc."
Вируленттілік,"жануарлардың немесе адамның белгілі бір түріне қатысты микроорганизмнің патогенділік дәрежесі; уыттылық дәрежесін, ағзаға ену және көбею қабілетін қамтиды.",Вирулентность,"степень патогенности микроорганизма в отношении определенного вида животных или человека; включает степень токсичности, способность внедряться и размножаться в организме.",Virulence,"the degree of pathogenicity of a microorganism in relation to a certain animal or human species; includes the degree of toxicity, the ability to be introduced and multiply in the body."
Вирустар,"геномы (ДНҚ немесе РНҚ) бар, бірақ басқа организмдердің (өсімдіктер немесе жануарлар) жасушаларынан тыс көбейе алмайтын жасушалық емес тіршілік формалары.",Вирусы,"неклеточные формы жизни, обладающие геномом (ДНК или РНК), но не способные к размножению вне клеток других организмов (растений или животных).",Viruses,"non-cellular life forms that possess a genome (DNA or RNA), but are not capable of reproduction outside the cells of other organisms (plants or animals)."
Қабыну,"бүтін ағзаның зақымдаушы фактордың әсеріне қорғаныш-бейімделу реакциясы және дене температурасының жоғарылауымен немесе жергілікті аймақтың, ісінудің, қызарудың, қабыну аймағында тамырлы көрегендіктің жоғарылауымен сипатталады.",Воспаление,"защитно-приспособительная реакция целостного организма на действие повреждающего фактора и характеризующаяся повышением температуры тела, или локального участка, отеком, покраснением, повышенной сосудистой проницательностью в участке воспаления.",Inflammation,"a protective and adaptive reaction of the whole organism to the action of a damaging factor and characterized by an increase in body temperature, or a local area, swelling, redness, increased vascular permeability in the area of inflammation."
Гельминттер,"трематодтар, цестодтар, қырғыштар және нематодтар кластарының өкілдерін қамтитын құрттар тобы — адамдар мен жануарлардың гельминтоздарының қоздырғыштары.",Гельминты,"группа червей, включающая представителей классов трематод, цестод, скребней и нематод — возбудителей гельминтозов человека и животных.",Helminths,"a group of worms, including representatives of the classes of trematodes, cestodes, scrapers and nematodes — pathogens of helminthiasis in humans and animals."
Гематология,"қан жүйесі ауруларының пайда болу себептерін (этиологиясын), даму механизмін (патогенезін) және клиникалық көріністерін зерттейтін және оларды диагностикалау, емдеу және алдын алу әдістерін әзірлейтін ішкі аурулар бөлімі.",Гематология,"раздел внутренних болезней, изучающий причины возникновения (этиологию), механизм развития (патогенез) и клинические проявления заболеваний системы крови и разрабатывающий методы их диагностики, лечения и профилактики.",Hematology,"a section of internal diseases that studies the causes (etiology), the mechanism of development (pathogenesis) and clinical manifestations of diseases of the blood system and develops methods for their diagnosis, treatment and prevention."
Гематурия,зәрде эритроциттердің болуы.,Гематурия,наличие эритроцитов в моче.,Hematuria,the presence of red blood cells in the urine.
Гемолиз,эритроциттердің жойылуы.,Гемолиз,разрушение эритроцитов.,Hemolysis,destruction of red blood cells.
Гипербарикалық оксигенация,арнайы барокамераларда жоғары қысыммен (1-3 артық атмосфера) оттегімен тыныс алу.,Гипербарическая оксигенация,"дыхание кислородом под повышенным давлением (1-3 избыточных атмосферы) в специальных барокамерах.
",Hyperbaric oxygenation,breathing oxygen under high pressure (1-3 excess atmospheres) in special pressure chambers.
Гипергликемия,қандағы глюкоза концентрациясының жоғарылауы.,Гипергликемия,повышенная концентрация глюкозы в крови.,Hyperglycemia,increased concentration of glucose in the blood.
Гиперкоагуляция,жеделдетілген қан ұюы.,Гиперкоагуляция,ускоренная свертываемость крови.,Hypercoagulation,accelerated blood clotting.
Гиперплазия,"тіндердің патологиялық деградациясы нәтижесінде жасушалар санының, жасушааралық құрылымдардың көбеюі.",Гиперплазия,"увеличение числа клеток, межклеточных структур в результате патологического перерождения ткани.",Hyperplasia,"an increase in the number of cells, intercellular structures as a result of pathological tissue degeneration."
Гипертония,тамырлардағы гидростатикалық қысымның жоғарылауы.,Гипертония,повышение гидростатического давления в венах.,Hypertension,increased hydrostatic pressure in the vessels.
Гиперфункция ,"органның, жүйенің күшейтілген қызметі.",Гиперфункция ,"усиление функции организма, системы.",Hyperfunction,"enhanced function of the organ, system."
Гиповитаминоз,витаминдердің жетіспеушілігі.,Гиповитаминоз,нехватка витаминов.,Hypovitaminosis,lack of vitamins.
Гипогликемия,қандағы глюкоза концентрациясының төмендеуі.,Гипогликемия,снижение концентрации глюкозы в крови.,Hypoglycemia,reduced concentration of glucose in the blood.
Гипокоагуляция,қан ұюының баяулауы.,Гипокоагуляция,замедление свертывания крови.,Hypocoagulation,slowing of blood clotting.
Гипоксемия,қандағы оттегінің төмендеуі.,Гипоксемия,пониженное содержание кислорода в крови.,Hypoxemia,reduced oxygen content in the blood.
Гипоксия (оттегі ашығуы),"жасушаларда, тіндерде және мүшелерде оттегінің жетіспеушілігі.",Гипоксия (кислородное голодание),"дефицит кислорода в клетках, тканях и органах.",Hypoxia (oxygen starvation),"oxygen deficiency in cells, tissues and organs."
Гипостенурия,тұрақты төмен салыстырмалы тығыздықтағы зәр шығару.,Гипостенурия,выделение мочи с постоянно низкой относительной плотностью.,Hypostenuria,urine excretion with a consistently low relative density.
Гипоталамус,таламустың астында орналасқан және қарыншаның III түбін құрайтын ми бөлімі. Нейрогормондарды шығарады және вегетативті жүйке жүйесінің ең жоғарғы субкортикалық орталығы болып табылады.,Гипоталамус,"отдел головного мозга, расположенный под таламусом и образующий дно III желудочка. Секретирует нейрогормоны и является высшим подкорковым центром вегетативной нервной системы.",Hypothalamus,the part of the brain located under the thalamus and forming the bottom of the III ventricle. It secretes neurohormones and is the highest subcortical center of the autonomic nervous system.
Гипотензия,тамырлардағы қан қысымының төмендеуі.,Гипотония,пониженное давление крови в сосудах.,Hypotension,low blood pressure in the vessels.
Гипофиз,мидың түбінде орналасқан ішкі секреция безі (түрік седласы). Басқа ішкі секреция бездерінің қызметін реттейтін бірқатар пептидтік гормондар шығарады.,Гипофиз,"железа внутренней секреции, расположенная в основании мозга (турецком седле). Вырабатывает ряд пептидных гормонов, регулирующих функции других желез внутренней секреции.",Pituitary gland,the gland of internal secretion located at the base of the brain (Turkish saddle). It produces a number of peptide hormones that regulate the functions of other endocrine glands.
Гипофункция,"жасуша, орган, жүйе қызметінің әлсіреуі.",Гипофункция,"ослабление деятельности клетки, органа, системы.",Hypofunction,"weakening of the activity of the cell, organ, system."
Гликоген,бауырда синтезделетін және сақталатын полисахарид; ыдырау кезінде глюкоза түзеді.,Гликоген,"полисахарид, синтезирующийся и депонирующийся в печени; при распаде образует глюкозу.",Glycogen,"a polysaccharide synthesized and deposited in the liver; when decomposed, it forms glucose."
Гликогенолиз,гликогеннен глюкозаның түзілуі.,Гликогенолиз,образование глюкозы из гликогена.,Glycogenolysis,formation of glucose from glycogen.
Глюконеогенез,ақуыздар мен майдан глюкозаның түзілуі.,Глюконеогенез,образование глюкозы из белков и жира.,Gluconeogenesis,formation of glucose from proteins and fat.
Десквамация,эпителий жасушаларының қабыршақтануының физиологиялық немесе патологиялық процесі.,Десквамация,"физиологический или патологический процесс слущивания эпителиальных клеток.
",Desquamation,physiological or pathological process of peeling of epithelial cells.
Деструкция,"тіндік, жасушалық және жасушалық құрылымдардың бұзылуы.",Деструкция,"разрушение тканевых, клеточных и субклеточных структур.",Destruction,"destruction of tissue, cellular and subcellular structures."
